2025-05-12 12:10:31.259 INFO  (main) [c: s: r: x: t:] o.a.s.u.c.SSLConfigurations Setting javax.net.ssl.keyStorePassword
2025-05-12 12:10:31.261 INFO  (main) [c: s: r: x: t:] o.a.s.u.c.SSLConfigurations Setting javax.net.ssl.trustStorePassword
2025-05-12 12:10:31.303 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.24; built: 2024-08-26T17:58:21.070Z; git: d5384207795da96fad32db8ea8d26b69955bcc03; jvm 17.0.13+11
2025-05-12 12:10:31.447 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2025-05-12 12:10:31.461 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2025-05-12 12:10:31.465 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.7.0
2025-05-12 12:10:31.465 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2025-05-12 12:10:31.465 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/bin/modules/search-and-navigation/solrserver/resources/solr/9.7/server
2025-05-12 12:10:31.465 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2025-05-12T12:10:31.465363133Z
2025-05-12 12:10:31.466 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/log/solr/instances/default/jvm_crash_31909.log
2025-05-12 12:10:31.481 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/config/solr/instances/default (source: system property: solr.solr.home)
2025-05-12 12:10:31.493 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from /home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/config/solr/instances/default/solr.xml
2025-05-12 12:10:31.517 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/bin/modules/search-and-navigation/solrserver/resources/solr/9.7/server/lib]
2025-05-12 12:10:31.902 INFO  (main) [c: s: r: x: t:] o.a.s.c.p.i.PlacementPluginFactoryLoader Default replica placement plugin set in solr.placementplugin.default to simple
2025-05-12 12:10:31.906 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2025-05-12 12:10:31.970 INFO  (main) [c: s: r: x: t:] o.e.j.u.s.SslContextFactory x509=X509@124dac75(1,h=[solr, solr.local, localhost, 127.0.0.1.xip.io, hybris],a=[/127.0.0.1],w=[127.0.0.1.xip.io]) for Client@315105f[provider=null,keyStore=file:///home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/config/solr/instances/default/solr.p12,trustStore=file:///home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/config/solr/instances/default/solr.p12]
2025-05-12 12:10:32.080 INFO  (main) [c: s: r: x: t:] o.e.j.u.s.SslContextFactory x509=X509@1cc8416a(1,h=[solr, solr.local, localhost, 127.0.0.1.xip.io, hybris],a=[/127.0.0.1],w=[127.0.0.1.xip.io]) for Client@331ff3ac[provider=null,keyStore=file:///home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/config/solr/instances/default/solr.p12,trustStore=file:///home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/config/solr/instances/default/solr.p12]
2025-05-12 12:10:32.085 INFO  (main) [c: s: r: x: t:] o.e.j.u.s.SslContextFactory x509=X509@715a70e9(1,h=[solr, solr.local, localhost, 127.0.0.1.xip.io, hybris],a=[/127.0.0.1],w=[127.0.0.1.xip.io]) for Client@3bc69ce9[provider=null,keyStore=file:///home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/config/solr/instances/default/solr.p12,trustStore=file:///home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/config/solr/instances/default/solr.p12]
2025-05-12 12:10:32.094 INFO  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Initializing authorization plugin: solr.RuleBasedAuthorizationPlugin
